full_tweets,Label,location,quote_count,reply_count,retweet_count,favorite_count,language
ok answer me these and i might start to think you have a cluewhat was potential vaccine capacity in europe in may 2020how did different funding streams affect thiswhat plants were slow to ramp up,-1,Luxembourg,0,0,0,0,en
fu p  and maget complete project chapter 15 at fu sunday covid19 coronavirus educati,-1,Nigeria,0,0,0,0,en
a good look children  here is what we call a smug little creep with no understanding of personal space,-1,"St. Paul, MN",0,0,3,1,en
funny a nurse friend of mine i knew in high school developed bells palsy a day after getting the vaccine and is now unable to work  is in alberta so deena hinshaw is ve well aware of it now we know where the lack of emotion comes from  psychopathy,-1,unknown,0,0,0,0,en
marks the fourth straight day of 1000 new covid19 cases for ontario and the sharp steady drop in the sevenday,-1,unknown,2,10,25,45,en
aborted child cell line in the vaccinedontforgetjohanna,-1,Scotland's the heart of God,0,0,0,0,en
when israels accused of war crimes they say impossible palestinians are in israel when they exclude palestinians fro,-1,"Los Angeles, CA",0,4,17,81,en
i  you so are tests with different accuracy fake testsexactly,-1,Canada,0,0,0,0,en
comenzado  pumas  leon covid19,-1,Cuba,0,0,0,0,en
fauci vaccine distribution should be back on track by midweek after storm delays,-1,On another plane of thinking.,1,1,30,114,en
albos instagram vaccine post is really quite a lovely thing,-1,"Inner West, Sydney, Australia",1,1,1,3,en
vietnama country of 97 million has recorded only 2362 coronavirus cases and 35 covid19 deaths how contact trac,-1,unknown,6,6,154,314,en
completely botched very early stages of handling of covid19 dems cried out to follow sci,-1,United States,1,6,13,137,en
just in voting 220 senate consecutively approves on second and third reading the bill seeking to expedite the procu,-1,Makati City,0,0,4,7,en
covid fashion show asiaville asiavilletoons covid19,-1,India,0,0,0,0,en
what about gazans who have been deprived of this vaccine where is the democracyisraelvaccinationapartheid,-1,unknown,0,0,0,0,en
in scimitarieng bothscimitar interview intervista underground shadowsofman blackwaters metal canada covid19 webzine extrememetal victoria band cd digipak artwork followme,-1,Italy,0,0,0,0,en
mariana  has been saying exactly this for yeaaars in an eyeopening bookyet by not admitting the states r,-1,London,1,0,39,50,en
i guess everyone has heard about the spectacular results of the vaccine in scotland,1,unknown,5,10,56,125,en
for a better lebanon go awayالحريريمنافقالجمهورية,-1,unknown,0,0,25,16,en
we have also been informed that 4 million out of the 16 million doses of astrazeneca oxford covid19 vaccine will arrive in t,1,"Abuja, Nigeria",0,1,2,3,en
china uyghurgenocide  ccpvirus  wuhanvirus  covid19 is worldwide 2mpeople genocide  baijin winterolympics2022 must be boycotted,-1,東京,0,0,0,0,en
for finally airing the other side of the airport story,-1,In the air,0,0,8,17,en
for a virus with lt1 mortality rate idgaf  vaccine could never come and well hit herd immunity soon enough,-1,Wouldn't you like to know.,0,0,0,0,en
when it emerged the police had used tracing data for a criminal investigation an online backlash erupted function cre,-1,Brooklyn,0,0,1,1,en
community pharmacists have been the first line of advice treatment and referral for many on common ailments preventing unne,-1,"Nationwide, UK",0,1,10,17,en
i really wish you political morons would face facts one mutation that is ultra infectious and vaccine resistant and we are back where we started a year ago,0,unknown,0,0,0,0,en
hope statements r self explanatory kindly publish amp validatenot announce,-1,India,1,0,8,15,en
history expert eh  your knowledge against simcoe county museum staff,-1,unknown,0,0,0,0,en
if you was offered the vaccine would you take it yes or no covid19,-1,"Bradford, England",0,0,0,0,en
craving the refreshing taste of a tall glass of vaccine,2,Toronto,0,0,0,0,en
socialmedia is no stranger to scams  trends show scammers have shown more aggression toward businesses since the be,-1,unknown,0,0,1,0,en
i have to go back in 2 weeks and theyll give me what i havent had if ive had the vaccine theyll give me a placebo if ive had the placebo theyll give me the vaccine keeping me in the trial,-1,manchester,0,0,0,0,en
im not bame and im not having the vaccine this is a free country and my free choice,0,unknown,0,0,1,1,en
democrats stuff the covid  bill full of all kinds of pork,-1,Outofthematrix,0,0,1,0,en
have happened on bidens watch  goodness  came up with the vaccine and infection rates and deaths are dropping precipitously  you president,-1,unknown,0,0,0,0,en
on the stream tonight we discuss all the benefits of vaccination especially its impact on your wifi and phone recep,0,USA,0,12,12,54,en
plus the people they plan on killing with the vaccine,0,USA,0,0,0,0,en
id like to know why you dont question the results in states where trump won but also changed their voting due to covid19 why is  how convenient that you ignore that,-1,unknown,0,0,0,0,en
superspreader lmao  you fool covid19 internationaltravel quarantine,-1,unknown,0,0,0,0,en
vaccine would lose its potency before it gets to you,0,Nungua rich city #MAAMI,2,6,13,179,en
im baffled by epidemiologists and public health experts who keep insinuating the need to adapt our behavior around covid indef,-1,Chicagoland,3,34,13,142,en
and adopting is the last resort if the vaccine does affect fertilization like its not 100 proven that it does,0,he/him 17,0,0,0,0,en
it is mental health awareness week covid19 has largely impacted mental health cases and it has been even worse for tho,-1,"Nairobi, Kenya",0,3,38,77,en
lack of leadership from democrats in  a constant reminder that if their programs policies and procedures actually worked we should rank in the   instead we rank in the bottom  of states,-1,RI,0,0,0,0,en
china is providing vaccine aid to 53 developing countries and will keep conducting vaccine cooperation within its capacity to,-1,unknown,2,0,4,16,en
everything fucken threat with covid but you think    would get act together  get the vaccine out  instead of making excuses,-1,dorval,0,0,0,0,en
left arm pfizer 2 and with my prior taste of covid19 in march 2020 that hopefully means strikes three,-1,unknown,0,0,0,0,en
webinar oncovid19 pandemic  an eyeopening situationin getting selfaware nowcont,-1,unknown,0,0,1,0,en
we should have locked down as soon as there were a few cases of covid19 that way wed have had a better chance of gett,-1,Hiding in my sock drawer,0,0,2,1,en
i stopped watching  a long time ago  words that che uttered last night were absolutely disgusting but lets ask these questions1 who is the writer that wrote this 2 who is the producer who gave this a green light,-1,"New York, NY",0,0,0,0,en
13 of deaths within 48 hrsthe fda has not yet implemented systems to monitor the safety of the experimental covid vaccine,0,Citizen-at-Large,0,0,1,0,en
covid vaccine side effects cdc says these are the most common,1,"Washington, USA",0,0,0,0,en
if vaccine will decrease covid cases and it the thinking of  then we will pray the god to give more chan,1,unknown,2,0,24,14,en
co pandemic a  effect of loss us covid deaths approach 500000  new york,-1,unknown,0,0,0,0,en
drs holcomb  lambert  and i were delighted to partner with,-1,New York city,0,0,5,6,en
weekly update covid19 in saa good week overall bringing hope and relief  cases down 25   down 4,-1,"Cape Town, South Africa",8,11,81,208,en
all of the international bodies should work for whole people prosperity health security and strengthening all the world without any partiality on any of themalready all you knows about how one small mistake affects all life in covid19 pandemic situation,-1,"AP, India",0,0,0,0,en
un chief antonio guterres voices appreciation for indias leadership in fight against covid19 vaccine assistance ht,-1,India,0,0,43,3,en
iom visited davao del sur displacement sites last week with support from  iom continues to provide w,-1,Republic of the Philippines,0,0,2,3,en
brilliant idea anyone who refuses the vaccine should have restrictions on their movements no holidays gyms pubs restaurants the list is endless,1,"North West, England",0,0,0,0,en
bill gates made 10b actively preventing affordable vaccines from being produced worldwide now poorer countries are paying m,1,"NE Bumblefuck, USA",0,1,27,35,en
everyone knows americas vaccine rollout is a disaster what this article presupposes is  maybe it isnt,0,unknown,0,1,2,11,en
new   louisiana department of health reported 947 more confirmed coronavirus cases and 20 more confirmed deaths in its noon update sunday,-1,"New Orleans, LA",0,0,0,0,en
do you know goal of covid19 vaccine is to promote human wellbeing globally it is intended to be used for active immunization of people at risk to prevent covid19 india fights corona unite2fightcorona janandolan,1,New Delhi,0,0,0,0,en
florida gov  desantis hangs out at maralago as he bungles  states vaccineflorida  desantis  r,-1,SWFL,9,12,71,103,en
easy to understand good vaccine statistics for all to know vaccines are very effective and very safe up to date information from israel with the highest percentage of vaccinations in the world and the us with over 60 million vaccinations given demonstrate this cont,1,unknown,0,0,0,0,en
applied for loads of jobs due to being made redundant because of coronavirus,-1,"Dingwall, Scotland",0,0,0,0,en
another one of donalds deplorables,-1,unknown,4,35,42,175,en
can you hack ai cyberattack machinelearning datascience python ai 100daysofcode iot flutte,-1,Switzerland,0,0,25,8,en
ive said it before that bill gates couldnt prevent,-1,"Pennsylvania, USA",0,0,4,7,en
a foreign holidayprofessor medley i am not i didnt last year and i wont next year probably either i think,-1,"Tranent via Arbroath, Scotland",4,4,17,35,en
if you are searching for a job or for employees we are here to help visit our linkedin page for virtual networking o,-1,"Rhode Island, USA",1,0,1,2,en
governor of new yorks tweet4 weeks agocc uk government,-1,"Scotland, United Kingdom",1,10,11,88,en
will not turn the hillsborough  green this year due to the coronavirus pandemic,-1,"St Petersburg, FL",2,6,6,16,en
maxine fosterday,-1,unknown,0,0,0,0,en
on  exactly,-1,unknown,0,0,0,0,en
monmouth countyi know a lot of ppl have been asking about monmouth and its been quiet lately im still tracking hopefully will locate  more appts this week issue could have been vaccine delay due to storm make sure to check out these sites below for best chances,-1,New Jersey,0,0,0,0,en
big is beautiful but it can bring fatal consequencesperhaps we need to be more honest about that and stop enabling it,-1,unknown,0,0,2,0,en
another marxist organisation trying to destroy the country how the once respected have fallen voter id is essential for the integrity of our elections  compare with vaccine id is quite pathetic,-1,unknown,0,0,0,0,en
same in ottawa a year ago flu and respiratory syncytial virus were off the charts at   only respiratory virus w,-1,"Ottawa, Ontario",0,0,11,12,en
stronger across the globe  supports inclusive education in emergency responses to the covid19,-1,unknown,0,0,6,21,en
23 february 1954  first mass inoculation of children against polio began in pittsburgh pennsylvania usa  vaccine wa,-1,Dublin,3,0,22,51,en
i received my second dose of the moderna vaccine late friday six days late but at least i got it second dose hit me like a truck for 24 hours but thankfully my mom only got a sore arm,2,"Los Angeles, CA",0,0,0,0,en
its not stamping on your rights to bring in a vaccine passport  its trying to save them,-1,unknown,0,0,0,0,en
batches of dodgy es have gotten round the country quicker than this vaccine,-1,"Dublin City, Ireland",0,0,17,177,en
meps in   to quiz pharma industry ceos plus   in covid19 vaccine live p,-1,Brussels,0,0,1,2,en
covid19 survivors who get one vaccine shot are having a high immune response studies show and researchers say these peopl,1,unknown,0,0,7,6,en
it is after all very difficult to ensure that the children amp grandchildren of all  voters get into the uni of th,-1,unknown,0,0,2,3,en
art is by john nwokocha  he is a medical student and my mentee under the   art reminds m,-1,"Abuja, Nigeria",1,2,13,23,en
australia just received 180000 pfizer vaccines last week zaev needs donations lol,-1,unknown,0,0,0,0,en
had a debate in the israeli parliament about whether or not they should allow a few thousand doses of the vaccine to be delivered into gaza,-1,unknown,0,0,0,0,en
first realworld uk data shows pfizer bion vaccine provides high levels of protection from the first dose,1,"London, England",0,0,0,0,en
instant icon,-1,unknown,1,12,26,222,en
ill go to prison before they vaccinate my children vaccine vaccine passports,0,unknown,0,0,0,0,en
might be a bit too optimistic,-1,unknown,0,0,1,1,en
future vaccines depend on  subjects in short supply monkeys,-1,"Beach Park, Illinois USA",0,0,0,0,en
with the vaccine rollout out for priority group 6 starting soon its great to see from our survey that at least 75 of p,1,"Norwich, England  ",1,4,19,32,en
asked for help in the middle of last year after pfizer and moderna has already completed phase 1 trials  feds committed support of those trials in october,1,"Vancouver, BC",0,0,0,0,en
scotland has completed over one million covid19 vaccinations nearly a fifth of the population listen to major sam nichol,-1,Scotland United Kingdom,3,4,15,50,en
covid vaccine is now like son papdi in india nobody wants to consume in your own house hence you send it to neighbors,-1,"Noida, India",1,7,20,311,en
mr jarvis wants more money for those forced to selfisolate,-1,"Sheffield, England",0,0,0,0,en
can you hack ai cyberattack machinelearning datascience python ai 100daysofcode iot flutte,-1,"Melbourne, Victoria",0,0,9,3,en
federal records show the us government is partnering with the wuhan institute of virology even though the  administr,-1,unknown,2,1,16,18,en
coronavirus doctors diary dont ask me which vaccine is best please,-1,Kings Lynn Norfolk,0,0,7,11,en
what about gazans who have been deprived of this vaccine where is the democracyisraelvaccinationapartheid,-1,unknown,0,0,0,0,en
im self identified as a giraffe do i get the vaccine,-1,Blue State Maine,0,0,0,0,en
breaking it is better than expected 90 reduction in lab confirmed infections on the heels of earlier news of almost 10,-1,unknown,6,2,37,103,en
if youre an adult in england living with a severe mental illness you should now be eligible for a covid19 vaccine,1,"Norwich, England  ",0,0,4,6,en
see how they wont tell the public the truth  administration is responsible for covfefe virus coronavirus covid 19 made in a lab in what year  was rejected by fda that bill gates was making yet the biden administration lying about trumpet being,0,unknown,0,0,0,0,en
its essential to understand why some health care workers are putting off vaccination,-1,"Florida, USA",0,0,0,0,en
amount of money being spent on things with no relation to covid19 is troubling maybe a journalist could take a deep dive into that,-1,unknown,0,0,0,0,en
imagine risking the life of your unborn som bc some asshole on cnn says that he doesnt think theres risk for pregnant women to get the vaccine,0,unknown,0,0,0,0,en
side vaccine side effects,0,"Chicago, IL",0,0,0,0,en
but you do no getting the trial vaccine you can still catch and pass on the virus to others,0,formally blackburn now ireland,0,0,0,0,en
webinar oncovid19 pandemic  an eyeopening situationin getting selfaware nowcont,-1,unknown,0,0,7,3,en
up covid19 surge decision on closure of schools lockdown after  says odisha minister covid19 odisha https,-1,"Doha, Qatar",0,0,1,11,en
second dose  one step closer to seeing my family again  and a very happy physio  pfizer getjabbed,2,"Wales, United Kingdom",0,0,0,0,en
2021 covid vaccine it listin percentagesout  datain  fetal deathsout more animal pregnancy in,-1,unknown,0,4,15,55,en
congrats on getting vaccinated im sure i dont know nearly as much as you just seeing your marked location and would be happy to learn or be corrected  is the gist of what im referencing,1,"Washington, DC",0,0,0,0,en
new covid19 data at 20210221 113001 am est coronavirus covid19 covid19,-1,unknown,0,0,0,0,en
when are thick people going to realise they have come up with a scam vaccine that does nothing for a scam virus that you have a 99.7 chance of survival from you wear muzzles that they have no proof work,0,Scotland,0,0,0,0,en
government aircraft worker here my job is going to try to force anyone to vaccinate or get fired as they are german anyone who wont get the vaccine needs to be tossed in a burning barn,-1,"Connecticut, USA",0,0,0,0,en
dr judy mikovits and dr sherri  a new covid vaccine could kill 50 million people in the us,0,USA-CDA,0,0,0,0,en
of course the others moved forward so quickly that they forgot that a second dose was needed for the vaccine to be really effective,1,unknown,0,0,0,0,en
icans legal team led by aaron siri has taken legal action to challenge employersschools that require their employeesstude,-1,Utah,1,1,34,44,en
joseph fischer a police officer from north cornwall  pa is arrested in capitol riotclashed with policeboasted,-1,Sierra Canyon,11,24,165,421,en
great new tool from   easy access to info on how to sign up for the vaccine in your state,1,United States,10,6,216,353,en
just get rid of him  the man is a total fool he isnt driving us well at all and is compromising your position,-1,🇬🇧,1,11,28,78,en
still hesitant to take the covid19vaccine we will help you decide a message from the waaaub health sciences chapter lea,-1,unknown,0,1,1,1,en
can you send someone to cuba to verify this information  are claiming to have covid19 cure since the beginning of the crisis meanwhile the government is hiding the number of death for coronavirus in the island cubamiente,-1,United States,0,0,0,0,en
omg boris and vaccine,-1,unknown,0,0,0,0,en
did you  get a single rupee of 15 lacsget one job out of 2cr jobsget to live in a smart cityget to ride on a bullet tr,-1,Morally Corrupt Nation,0,1,2,4,en
media ignore desantiss minority outreach to smear florida vaccine effort,-1,at the Forge,0,1,3,9,en
10 nations have administered 75 of the vaccines while 130 countries  are yet to administer a single dose i wrote about,-1,UCF,11,1,83,122,en
canada will provide mandatory swab tests at over a hundred land crossings on its border with the us from monday ottawa said as c,-1,Deep State MSM HQ,2,0,19,24,en
she said might you know just like the government says about the vaccine,-1,South Carolina,0,0,0,0,en
liaquat national hospital partners with flydubai airline for preflight covid19 pcr testingflydubai covid19 lnh preflight emirates pcrtest karachi,-1,"Stadium Road,Karachi, Pakistan",0,0,0,0,en
most us schools arent yet requiring teachers to get the covid19 vaccine   california sun,-1,"Sivasagar, Assam, India",0,0,0,0,en
all adults in untied kindom to get first dose of covid19 vaccine by july 31 says pm boris johnson,1,United Kingdom,0,0,0,0,en
vaccine and the health freedom passport which will then become a biometric bracelet  then some sort of implant im guessing  total control  health passport needs to be resisted at all costs if we accept that its game over enough is enough,0,unknown,0,0,0,0,en
drivers will be offered 3000 credit to give up cars oh do one we have covid19 killing the nation according to the glorious borisjohnson  is not anywhere near an issue at the moment invest in publictransport you idiots give an alternative way,-1,"Boston, England",0,0,0,0,en
chart source and here with context from south african activist,-1,South Africa,0,1,4,8,en
it can be tough to discuss the covidvaccine with your loved ones if they dont agree with you when having these importa,-1,Washington state,1,4,3,9,en
nasty bastards and their love of science and liberty why cant they be an illinformed bedwetting antiscience c,-1,"Millbrae, California",0,0,2,6,en
facebook political ad ban blocks provaccine messages s led some public health experts to question if facebook can,-1,UK,0,1,2,4,en
doesnt work for us they only work for themselves and their rich donors i hope to god opposing the help to th,-1,STOP DATA MINING,1,0,5,7,en
i for one am confused about the irish govt strategy to beat covid im confused about the vaccine effectiveness amp duratio,-1,Ireland,0,0,1,2,en
cvs health is hiring in baltimore md  about our latest pharmacy    store job opening via the link in our bio pharmacy   covid 19 vaccine support,-1,"Baltimore, MD",0,0,0,0,en
agreemy argument in favor of a covid commission from late last year,-1,"Pismo Beach, CA",0,4,17,47,en
gebran bassil works in lebanon and saad hariri follows the saudi streetالحريريمنافقالجمهورية,-1,unknown,0,0,136,102,en
and responsibility here being tied to tada consequencesnow with the foregoing in mind notice how the druggies like pfizer amp moderna have 100 immunityalso notice the bureaucrooks instituting this hysterical looney tune act by fiat but never suffer if theyre wrong,-1,unknown,0,0,0,0,en
is your mental health struggling while youre working from home  check out these tips,-1,United Kingdom,0,0,0,0,en
unique asset with life story for 777kdetails on the link belowexclusive covid19 nfl sundayvibes art blm cryptocurrency auction mars2021 hanbin investing bitcoin dogecoins  stocks resign lifestyle vaccine us finance intermilan,-1,unknown,0,0,0,0,en
media is a democrat tool they go after any successful conservative leader out there florida has shown the correct way to manage covid better than any other state  was s typical of our media today,-1,38028,0,0,0,0,en
it has nothing to do with non pharmaceutical interventions amp all to do with the sun uv light both degrades sa in d,-1,"Burton upon Trent, England",0,3,15,56,en
is it a vaccine effect or an effective lockdowninsightful analysis of uk data and comparison with israels,-1,"Catania, Sicilia",0,1,14,36,en
please stop hating on healthcare workers uploading pictures of getting the vaccine ve had the toughest year out of a,-1,اغوانستاں,4,4,77,310,en
please its hight time now let us get back we are willing to pay for quarantine vaccine and any other fee you want,-1,unknown,1,0,11,6,en
do you know why the guardian are only reporting 258 as having had their first vaccine dose,-1,NCL-OX-LDN,0,0,0,0,en
we should not overcomplicate this at very low infection levels about 1 case million day we can sustainably control,-1,"Canterbury, England",0,0,1,0,en
nope heard no side effects whatsoever although i know someone who swears they get flu every year from flu vaccineeven though thats impossible,-1,"England, United Kingdom",0,0,0,0,en
pune imposes new covid19 curbs shuts down schools colleges till feb 28 covid19 pune coronavirus,-1,"Gujarat, India",0,0,4,7,en
is really great news we could be headed closer to normalcy quicker than we thought,-1,"Nashville, TN",2,25,23,380,en
thrilled 2 announce 2 of our projects are shortlisted 2  2021 please vote 4 us1 best data visualization  covid1,-1,unknown,0,1,6,13,en
get to know the latest news and updates of coronavirus in urdu language on dd kashirs daily news programme urdu news,-1,"Srinagar, Jammu And Kashmir",0,0,0,0,en
well the king of vaccine gates said the vaccine will kill over 700000 people knowing him it was probably a very low est,0,West yorks,0,0,2,2,en
hi jan i just read your article about the kids covid vaccine trials you dont mention hi risk kids and there is a story that is not being told my 15 yo is a cancer survivor with 1 kidney adrenal insufficiency thyroid dysfunction and pituitary dysfunction,-1,unknown,0,0,0,0,en
and responsibility here being tied to tada consequencesnow with the forefoing in mind notice how the druggies like pfizer amp moderna have 100 immunity also notice the bureau crooks instituting this hysterical looney tune act by fiat but never suffer if they are wrong,-1,unknown,0,0,0,0,en
speed to trials and emergency approvals were all predicated by the research and developments of the past 20 years of vaccine science,1,unknown,0,0,0,0,en
please dont do anymore of these mamby pamby interviews with biden unless youre going to ask real questions  and you let him get away with lying about the covid vaccine didnt this guy remember he received his vaccine in december no real journalist just babysitters,-1,United States,0,0,0,0,en
gee i wonder if thats because the media are all too willing to amplify the lies coming from the opposition nah that,-1,"Saskatchewan, Canada",0,10,32,116,en
vaccine already entering malaysia right hopefully this covid will end soon ameen,-1,"Kuala Lumpur City, Kuala Lumpu",0,0,0,0,en
usual brilliance fr john burnmurdoch at the  follow up query has anyone seen anything to suggest that our track trace isolate system is now working sufficiently well to facilitate our measured exit fr lockdown im sure ive just missed a news story confirming this,-1,"London, England",0,0,0,0,en
my niece who is studying medicine in england got her vaccine yesterday administered by two retired doctors working for,2,"Bearna,Gaillimh ",0,0,4,48,en
our covid19 study found that many parents feel the stress of the pandemic makes it more important to talk to their kids about the dangers of underagedrinking have you sat down with your kids and had an honest conversation about the dangers of underagedrinking,-1,"Washington, D.C.",0,0,0,0,en
incredible news getyourdose,-1,unknown,0,0,0,0,en
i can only imagine what a nightmare that would be,-1,"New York City, USA",0,0,0,0,en
president in mass today telling people that the gvt doesnt prohibit the wearing of masks but if you want t,-1,"Thange, Kenya",1,1,6,21,en
is doing exactly what he said hed do  ramping up vaccine supply to help protect as many americans as possible,-1,"Cape Coral, FL",9,23,159,529,en
if anyone has data regarding israels vaccine distribution provide it otherwise shut the fuck up with your unfounded accusations i mean thats only our entire history people lying about us then using the lies an excuse to fuckin murder us,-1,The city that never shuts up,0,0,0,0,en
is only a little friendly reminder about covid2019 coronavirus just only dont be panic amp be responsable for humanity we suppose that everyone know about it  inspiring on drevazambrano   by,-1,worldwide (via 🇪🇸),0,0,0,0,en
14 of the entire worlds population has been infected by covid19 source source coronavirus covid19 worldometer news breakingnews,-1,"Camden Town, London",0,0,0,0,en
vacidea covid19 forget age limit instead make cashman or other places for seniors only or stagger times by age but allow for all to get asap so life can get on asap  idea makes it possible  is too much waste otherwise vaccine get vaccinated,1,"Las Vegas, NV",0,0,0,0,en
bottomlinepollibd patients  what stage are you at with your covid vaccinecrohns crohnsdisease uc ulcerativec,-1,"New York, NY",0,2,1,1,en
me and my girls in the gym straight after iftar,-1,"London, England",0,0,44,235,en
lol at the pro israel people losing their minds over this totally apt joke,-1,HEART OF TEXAS,0,0,1,1,en
a push by iceland to get pfizers backing for a nationwide study on herd immunity has run into an unexpected snag  tiny i,-1,Fat/Bitch,1,7,20,54,en
you cant make this up  he is white a male extremely wealthy and was one of the first people to get a vaccine now he wan,-1,unknown,0,0,1,0,en
pfizer bion covid19 vaccine appeared to stop the vast majority of recipients in israel becoming infected providing t,1,"England, United Kingdom",1,1,9,11,en
just remember that a mask has nothing to do with protecting us from coronavirus and everything to do with making us into,-1,unknown,2,20,132,293,en
veterans and their families should be wary of calls email or texts asking for personal information in exchange for vacc,-1,"Arizona, USA",0,0,1,0,en
please  af vo  do you think boris johnson should sack matt hancock matthancock borisjohnson corona,-1,"Rotherham, England",0,2,7,4,en
we need to start vaccinating people who are home bound in nyc other places in the us are already going door to door t,1,unknown,0,1,3,31,en
michael che claimed israel was only vaccinating jews which is demonstrably false israels arab population has full access to the vaccine as well,-1,unknown,0,0,0,0,en
308541 additional vaccine doses registered in  yesterday 306109 1st doses 2432 2nd doses11950 in,-1,"Manchester, UK",3,15,19,142,en
heres why you hear salty white folks complain about good vaccine rollout in native health orgs amp profitability in native,-1,unknown,1,5,20,135,en
in a new development that is bound to increase fears of people reports of covid19 vaccine recipients developing a rare,-1,"Irvine, CA, USA",0,6,18,45,en
if someone says its ok to take the vaccine remind them that living humans were harvested to create it and injected in,0,unknown,0,9,57,175,en
several staff including myself have refused the covid 19 vaccine on more than 1 occasion  hse is now making appointment,0,unknown,1,18,38,112,en
despite trillions of dollars in government assistance about twothirds of families that suffered job losses or reduced,-1,unknown,0,2,7,14,en
yes,-1,"Cambridge UK, Penmarch, France",0,1,2,2,en
me too  gotta find something to do gotta keep busy until i get the vaccine,1,Present.,0,0,0,0,en
severe winter storms that have devastated  and surrounding states have delayed the distribution of 6000000 covid19 vacci,-1,"Los Angeles, CA",0,12,25,96,en
did they start using mozzarella cheese or sumn cause,-1,Jamaica Jamaica!,0,0,1,0,en
please follow,-1,unknown,0,0,0,0,en
grim milestone as the us passes more than 500000 loved ones lost to covid19so many lives could have been saved if,-1,"North Carolina, USA",1,5,27,56,en
jampj vaccine is 60 effective  other 40 will have mild symptoms and no one should die you can still infect other people thus the preventative measures stay in place until theres no few new infections,1,Bloemfontein,0,0,0,0,en
all gatherings banned in maharashtra from monday due to covid19 spike cmmaharashtra coronavirus lockdown,-1,India,0,0,0,0,en
coronavirus covid19 us cases by johns hopkins csse as of 022121 1205 cdt,-1,US,0,0,0,0,en
unions have been weakened by covid19 lockdown measures but they are more important than ever for prioritising,-1,unknown,0,1,4,15,en
what year is it now who keeps digging this war mongering child trafficking adoption pushing corrupt crusty old fossil up  his sweaty hands together for some more grifting the public during a crisis hes always prepared for tonyblairvoyant,-1,"Hastings, England",0,0,0,0,en
kudos to all involved   our great national carrier my favourite carrier toomhmalaysiahospitalityco,-1,unknown,0,1,2,5,en
500kcoviddeaths covid19 it didnt have to be this way wearamask,-1,unknown,0,1,6,7,en
vaccine is like removing your ovariestestes because you dont want someone elses grandmother to get pregnant https,-1,"Den Haag, Nederland",0,0,1,3,en
israel is still depriving palestinians of the vaccinationwhere is the palestinians rights to obtain this vaccineisraelvaccinationapartheid,-1,unknown,0,0,0,0,en
blair has been advising health secretary matt hancock on coronavirus pandemic strategy it has emergedgtlike the peac,-1,UK,0,0,3,3,en
after generations of systemic racism amp medical violence vaccine skepticism in the black community is justified but the,-1,unknown,0,2,19,55,en
why should rich  get to reside who is worthy of getting a vaccine over another,-1,unknown,0,0,1,1,en
same standards they held on bravo,-1,unknown,0,0,0,0,en
pfizer drops india vaccine application after regulator seeks local trial,-1,🌍,0,0,0,0,en
vaccine passports are really  freedom passes do the masses really think when they are set up they will ever stop bein,-1,unknown,1,0,3,21,en
honestly part of why im perfectly ready to take a vaccine in an earlier group even if i have my doubts about  how much,2,"Toledo, OH",0,12,35,185,en
none of my family is vaccinated none of my family will get vaccinated ive not stopped hugging my family and friends,0,"Comox, British Columbia",0,1,2,8,en
we need that vaccine asap and kids back in school,2,unknown,0,0,0,0,en
jnj vaccine rollout for hcps is an absolute disaster i understand that baragwanath hospital dont vaccinat,-1,"Sandton, South Africa",0,0,1,0,en
prove you are vaccinated or show your covid19 test results using the safepass app badge from  amp powered by dataprivacy gdpr badge d vaccine,-1,"Olathe, KS",0,0,0,0,en
ines atmosukarto  of  will talk abt importance of the various vaccine technologies and differences in efficacy i nyoman sutarsa of  will examine indonesias public health system preparedness in dealing with vaccinations,-1,Australian National University,0,0,0,0,en
any comments from the experts on this,-1,Kent,1,0,9,10,en
can you imagine and to suggest that  plonker hancock would be missed or the whole vaccine programme come crashing down were he made to resign is staggering,-1,London,0,0,0,0,en
hey  i used to trust you but you too published unverified news about  certification of  coronil s,-1,India,2,22,69,249,en
gthope in  worldwide storm full video gt,-1,Worldwide,0,0,0,0,en
covid vaccines that the  administration came up with is successful in fighting this pandemic joe should be out there promoting everybody to take this vaccine instead of telling lies that there wasnt any vaccine just to cover up their failure to distribute,-1,unknown,0,0,0,0,en
vaccination or  can employees be     coronavirus vaccine,-1,"Berlin, Germany",0,0,1,0,en
additionally the study found that pocregardless of their sexual orientation or gender identitywere at least 50 percent more likely than their white counterparts to personally know someone who died of covid19 lgbt lgb  mo,-1,"Los Angeles, CA",0,0,0,0,en
pharma has indeed crossed all limits when it comes to pandemic profiteering  covid19vaccine,-1,unknown,0,0,3,1,en
we are not an ignorant people dont fall for the false narratives we are dying disproportionately to other races from the virus yet they are first in line for the vaccine getvaccinated,1,unknown,0,0,0,0,en
criticism comes with the job of mayor but this ones just dumb said lightfootchicagos mayor lorilightfoot said cr,-1,Israel,1,5,20,33,en
sunday sometimes it takes a crisis to provoke change  about how covid19 accelerated the adoption of decent,-1,unknown,0,0,2,2,en
7 can covid19 vaccine alter human genetic information dnano covid19 vaccine does not alter dna it triggers immun,1,𝐻𝑒𝑎𝑣𝑒𝑛,0,0,16,12,en
its becoming clearer by the day that vaccines do block transmissionat these numbers this will v likely mean t,1,@Jøtul uk,3,13,24,210,en
ok but confusing people about the actual goal of the vaccine is what is leading people to skip it entirely you are making the perfect the enemy of the good not to mention that new zealand is an island nation with a fraction of our population,-1,"Lexington, Kentucky",0,0,0,0,en
